ID,MP,Constituency,Region,Party,Gender,Married,Kids,Born,Occupation,Religion,Denomination,NDC-Votes,NPP-Votes,Total-Votes,NDC-Pres,NPP-Pres,MP-2012-No-Longer-Serving
1,Kobina Tahir Hammond,Adansi Asokwa,Ashanti Region,NPP,M,Married,0,1960,Lawyer,Islam,,14157,15796,30537,12998,16845,
2,Nana Marfo Amaniampong,Afigya Kwabre North,Ashanti Region,NPP,M,Married,2,1964,Banker/Lecturer,Christian,Baptist,6207,17597,25377,7268,17798,
3,William Owuraku Aidoo,Afigya Kwabre South,Ashanti Region,NPP,M,Married,4,1964,Farmer,Christian,Catholic,9911,45841,57337,10373,46660,
4,David Hennric Yeboah,Afigya Sekyere East,Ashanti Region,NPP,M,Married,3,1970,Business Person,Christian,Calvary Charismatic Church,12285,35826,50090,11777,37855,
5,Kwasi Adusei,Ahafo Ano North,Ashanti Region,NDC,M,Married,3,1976,Education Executive,Christian,Church of Pentecost,18841,18418,37669,18083,18913,
6,Francis Manu-Adabor,Ahafo Ano South East,Ashanti Region,NPP,M,Married,5,1960,Engineer,Christian,Catholic,10860,13145,24243,10884,12925,
7,Johnson Kwaku Adu,Ahafo Ano South West,Ashanti Region,NPP,M,Married,2,1969,Education Executive,Christian,Church of Pentecost,9499,14344,25746,10508,14772,
8,Kwabena Appiah-Pinkrah,Akrofuom,Ashanti Region,NPP,M,Married,4,1947,Development Consultant,Christian,Methodist,6098,8976,14606,7484,10249,
9,Kwame Anyimadu-Antwi,Asante Akim Central,Ashanti Region,NPP,M,Married,4,1962,Lawyer,Christian,Presbyterian,8862,24421,35747,9316,26097,
10,Agyemang Kwadwo Baah,Asante Akim North,Ashanti Region,NPP,M,Married,2,1975,Advertising and Marketing,Christian,Resurrection Power Living Bread Christian Center,9709,14966,34292,10771,22894,
11,Kwaku Asante-Boateng,Asante Akim South,Ashanti Region,NPP,M,Married,4,1961,Legal Practitioner,Christian,Assemblies of God,19190,31151,51128,18520,31710,
12,Mubarak Mohammed Muntaka (Alhaji),Asawase,Ashanti Region,NDC,M,Married,4,1970,Development Consultant,Islam,,43917,31013,77034,45178,31260,
13,Appiagyei Patricia,Asokwa,Ashanti Region,NPP,F,Married,3,1956,Banker,Christian,Catholic,12647,54904,68360,14673,52960,
14,Kojo Appiah-Kubi (Dr),Atwima Kwanwoma,Ashanti Region,NPP,M,Married,5,1956,Economist,Christian,Catholic,10107,46367,59632,10654,48995,
15,Isaac Kwame Asiamah,Atwima Mponua,Ashanti Region,NPP,M,Married,3,1975,Politician,Christian,Anglican,24872,33961,59300,24193,34468,
16,Benito Owusu-Bio,Atwima Nwabiagya North,Ashanti Region,NPP,M,Married,5,1968,Hotelier,Christian,Anglican,9664,27456,45849,10919,34582,
17,Anthony Boakye Osei,Atwima Nwabiagya South,Ashanti Region,NPP,M,Married,6,1949,Public Servant,Christian,Catholic,11436,41459,55810,12034,43289,
18,Henry Kwabena Kokofu,Bantama,Ashanti Region,NPP,M,Married,0,1960,Forester,Christian,Anglican,8667,49054,58888,9321,49493,
19,"Joseph Osei-Owusu,",Bekwai,Ashanti Region,NPP,M,Married,4,1962,Lawyer,Christian,Catholic,7339,47972,56313,7897,48528,
20,Kwadwo Frimpong Kyei,Bosome Freho,Ashanti Region,NPP,M,Married,5,1946,Surveyor,Christian,Catholic,5467,14293,24721,6179,18182,
21,Simon Osei-Mensah,Bosomtwe,Ashanti Region,NPP,M,Married,5,1961,Economist,Christian,Catholic,17235,34790,52269,11239,40618,
22,Frank Boakye Agyen,Effiduase-Asokore,Ashanti Region,NPP,M,Married,4,1946,Lawyer,Christian,Presby,6503,22900,30068,6479,23388,
23,Kwabena Owusu-Aduomi,Ejisu,Ashanti Region,NPP,M,Married,3,1960,Civil Engineer,Christian,Deeper Life Church,11788,51976,64973,12389,52253,
24,Mohammed Salisu Bamba,Ejura Sekyedumase,Ashanti Region,NPP,M,Married,2,1975,Business Person,Islam,,21166,21461,43108,23810,19453,
25,Daniel Kingsley Atta Boafo,Fomena,Ashanti Region,NPP,M,Married,3,1957,Agric Researcher,Islam,,6382,13812,20386,5406,14672,
26,Ama Pomaa Boateng,Juaben,Ashanti Region,NPP,F,Married,1,1975,IT Consultant,Christian,Methodist,7064,22323,29604,6950,22314,
27,Philip Basoah,Kumawu,Ashanti Region,NPP,M,Married,2,1969,Education Executive,Christian,Liberation Christian Centre,4142,18858,27477,5665,21482,
28,Kofi Frimpong,Kwabre East,Ashanti Region,NPP,M,Married,10,1951,Business Person,Christian,Seventh- Day Adventist,17521,62048,82377,18092,64056,
29,Owusu Afriyie Akoto (Dr),Kwadaso,Ashanti Region,NPP,M,Married,6,1949,Company Director,Christian,Catholic,9745,56233,67869,10378,57533,
30,Francis Addai-Nimoh,Mampong,Ashanti Region,NPP,M,Married,3,1965,Civil Engineer,Christian,Methodist,11754,34189,47113,11796,34925,
31,Collins Owusu Amankwah,Manhyia North,Ashanti Region,NPP,M,Married,1,1980,Media Personality,Christian,Faith Gospel Church,13439,36775,52862,14890,37853,
32,Matthew Opoku Prempeh (Dr.),Manhyia South,Ashanti Region,NPP,M,Divorced,0,1968,Medical Doctor,Christian,Anglican,6890,35152,42843,8216,35417,
33,Frimpong Yaw Addo,Manso Adubia,Ashanti Region,NPP,M,Married,5,1962,Development Consultant,Christian,Catholic,8326,26368,35172,7124,27352,
34,Grace Addo (Ms),Manso Nkwanta,Ashanti Region,NPP,F,Separated,2,1960,Teacher,Christian,Catholic,7003,29500,38299,6726,30992,
35,Ernest kofi Yakah,New Edubiase,Ashanti Region,NDC,M,Married,9,1959,Farmer,Christian,Assemblies of God,16777,13078,32388,18785,12721,
36,Richard W. Anane (Dr),Nhyiaeso,Ashanti Region,NPP,M,Married,4,1954,Medical Doctor,Christian,Catholic,12304,45389,59558,12973,46459,
37,Kwame Asafu-Adjei,Nsuta-Kwamang-Beposo,Ashanti Region,NPP,M,Married,3,1950,Politician,Christian,Presby,10913,19270,30361,10144,19773,
38,"Edward M Ennin,",Obuasi East,Ashanti Region,NPP,M,Married,4,1970,Insurance Executive,Christian,Methodist,15381,24212,40985,15673,25108,
39,Kwaku Agyeman Kwarteng,Obuasi West,Ashanti Region,NPP,M,Married,3,1969,Economist,Christian,Catholic,16253,31101,49154,16072,31788,
40,Emmanuel Akwasi Gyamfi,Odotobiri,Ashanti Region,NPP,M,Married,3,1974,Banker,Christian,Catholic,6226,27526,35221,5454,29377,
41,Augustine Collins Ntim,Offinso North,Ashanti Region,NPP,M,Married,3,1968,Teacher,Christian,Methodist,16417,17024,33806,16617,16566,
42,Ben Abdallah Banda,Offinso South,Ashanti Region,NPP,M,Married,3,1949,Lawyer,Islam,n/a,15533,33666,49872,16885,32459,
43,Elizabeth Agyeman (Ms),Oforikrom,Ashanti Region,NPP,F,Married,6,1949,Business Person,Christian,Catholic,29393,58812,90333,30202,59817,
44,Anthony Akoto Osei (Dr),Old Tafo,Ashanti Region,NPP,M,Married,3,1953,Economist,Christian,Catholic,13454,43561,57478,15038,42977,
45,Alex Adomako-Mensah,Sekyere Afram Plains,Ashanti Region,NDC,M,Married,5,1957,Banker,Christian,Presby,5701,1882,9012,6203,2514,
46,"Osei Kyei-Mensah-Bonsu,",Suame,Ashanti Region,NPP,M,Married,6,1957,Urban Planner,Christian,Assemblies of God,10589,60829,76852,12758,63926,
47,Isaac Osei,Subin,Ashanti Region,NPP,M,Married,5,1951,Economist,Christian,Catholic,16058,47779,65061,18328,47285,
48,Robert Sarfo-Mensah,Asunafo North,Brong Ahafo Region,NPP,M,Married,4,1970,Public Servant,Christian,Church of Pentecost,26820,28404,57071,26493,29471,
49,Eric Opoku,Asunafo South,Brong Ahafo Region,NDC,M,Married,3,1970,Farmer,Christian,,21770,18995,41043,21075,19052,
50,Joseph Benhazin Dahah,Asutifi North,Brong Ahafo Region,NPP,M,Married,5,1969,Teacher,Christian,Catholic,15112,14285,29397,13606,15339,
51,Collins Dauda (Alhaji),Asutifi South,Brong Ahafo Region,NDC,M,Married,11,1957,Teacher,Islam,,16077,12820,28997,15752,12791,
52,Nanja Sanja,Atebubu-Amantin,Brong Ahafo Region,NDC,M,Married,5,1968,Education Executive,Christian,Assemblies of God,16964,11413,34411,21133,12049,
53,Ahmed Ibrahim,Banda,Brong Ahafo Region,NDC,M,Married,1,1974,Business Person,Christian,Church of Pentecost,5645,4950,10699,5390,5068,
54,Dr. Kwabena Twum-Nuamah,Berekum East,Brong Ahafo Region,NPP,M,Married,3,1978,Medical Doctor,Christian,Methodist,16517,22687,40074,16719,22888,
55,Kwaku Agyenim-Boateng,Berekum West,Brong Ahafo Region,NPP,M,Married,2,1972,Lawyer,Christian,Presby,7280,10406,18197,7750,10189,
56,Kwaku Agyemang-Manu,Dormaa Central,Brong Ahafo Region,NPP,M,Married,6,1955,Accountant,Christian,Methodist,19687,22631,42784,19756,22438,
57,William Kwasi Sabi,Dormaa East,Brong Ahafo Region,NPP,M,Married,1,1966,"Consultant, Health",Christian,Catholic,9907,13712,24110,9350,14285,
58,Vincent Oppong Asamoah,Dormaa West,Brong Ahafo Region,NDC,M,Married,3,1966,Social Worker,Christian,Catholic,8683,6792,15607,9091,6236,
59,Stevens Siaka,Jaman North,Brong Ahafo Region,NPP,M,Married,7,1964,Teacher,Christian,Catholic,14718,14920,29638,16701,11862,
60,Yaw Maama Afful,Jaman South,Brong Ahafo Region,NPP,M,Married,3,1959,Entrepreneur,Christian,Presby,16123,22835,39500,16510,21836,
61,Stephen Kunsu,Kintampo North,Brong Ahafo Region,NDC,M,Married,6,1949,Education Executive,Christian,Presby,22761,17504,42119,26579,14545,
62,Yaw Effah-Baafi,Kintampo South,Brong Ahafo Region,NDC,M,Married,5,1955,Farmer,Christian,Church of Pentecost,15552,11467,28033,16488,11470,
63,Derek Oduro (Maj. [Rtd]),Nkoranza North,Brong Ahafo Region,NPP,M,Married,6,1958,Accountant,Christian,Seventh- Day Adventist,9534,10254,20506,10099,9947,
