ID,MP,Constituency,Region,Party,Gender,Married,Kids,Born,Occupation,Religion,Denomination,NDC-Votes,NPP-Votes,Total-Votes,NDC-Pres,NPP-Pres,MP-2012-No-Longer-Serving
92,Ekow Panyin Okyere Eduamoah,Gomoa East,Central Region,NDC,M,Married,4,1972,Education Executive,Christian,Methodist,18538,15449,35734,19741,15341,
93,Francis Kojo Arthur,Gomoa West,Central Region,NDC,M,Married,10,1954,Teacher,Christian,Catholic,27624,19310,48742,28810,18756,
94,Foster Joseph Andoh,Hermang Lower Denkyira,Central Region,NDC,M,Married,3,1961,HR Manager,Christian,Assemblies of God,13178,13147,26325,12727,12844,
95,Stephen Nana Ato Arthur (Dr),KEEA,Central Region,NPP,M,Married,3,1961,Engineer,Christian,Catholic,13962,22151,58049,31775,19699,
96,Aquinas Quansah,Mfantseman,Central Region,NDC,M,Married,1,1967,Journalist,Christian,Harvest Chapel International,31837,29476,62481,33752,26446,
97,Ato Samuel Amoah,Twifo-Atii Morkwaa,Central Region,NDC,M,Married,4,1966,Teacher,Christian,Seventh- Day Adventist,19410,15150,38248,21999,15260,
98,Nana Amoakoh,Upper Denkyira East,Central Region,NPP,M,Married,3,1958,Business Person,Christian,Catholic,17319,21020,38942,15707,22923,
99,Benjamin Kofi Ayeh,Upper Denkyira West,Central Region,NPP,M,Married,0,1962,Accountant,Christian,LDS,10192,14111,26794,10830,15364,
100,Bryan Acheampong,Abetifi,Eastern Region,NPP,M,Unkn,NA,1973,IT Consultant,Christian,,11764,20766,32530,10664,21381,Peter Wiafe Pepera
101,Esther Obeng Dappah(Ms),Abirem,Eastern Region,NPP,F,Single,3,1945,Lawyer,Christian,Church of Pentecost,14515,17347,32091,12404,19173,
102,Gifty Twum-Ampofo,Abuakwa North,Eastern Region,NPP,F,Married,NA,1940,Teacher,Christian,NA,12309,18812,31121,11754,19162,Joseph Boakye Danquah Adu
103,Samuel Atta Akyea,Abuakwa South,Eastern Region,NPP,M,Married,3,1962,Lawyer,Christian,ICGC,29330,8205,38219,8445,29334,
104,Robert Kwasi Amoah,Achiase,Eastern Region,NPP,M,Married,8,1948,Teacher,Christian,Presby,8503,14395,22971,8058,14536,
105,Aboagye Emmanuel Didieye,Afram Plains North,Eastern Region,NDC,M,Married,1,1976,ICT Specialist,Christian,Presby,18956,6762,26473,21373,4419,
106,Joseph Appiah Boateng,Afram Plains South,Eastern Region,NDC,M,Married,3,1975,Contractor,Christian,Church of Pentecost,14946,7348,24317,16944,6643,
107,William Agyapong Quaittoo,Akim Oda,Eastern Region,NPP,M,Married,4,1966,Business/Project Development and Management,Christian,Baptist,6315,18972,30244,9129,20631,
108,Kennedy Nyarko Osei,Akim Swedru,Eastern Region,NPP,M,Married,0,1979,Marketing,Christian,ICGC,3533,8865,15894,4581,10943,
109,William Ofori Boafo,Akwapem North,Eastern Region,NPP,M,Married,1,1946,Lawyer,Christian,Presby,15588,26828,43873,15389,29032,
110,Osei Bonsu Amoah,Akwapem South,Eastern Region,NPP,M,Married,3,1961,Lawyer,Christian,Methodist,8694,12720,25577,9446,15436,
111,Baba Jamal Mohammed Ahmed,Akwatia,Eastern Region,NDC,M,Married,5,1969,Politician,Islam,,20471,19914,40587,19118,20678,
112,Yaw Owusu-Boateng,Asene-Akroso-Manso,Eastern Region,NPP,M,Married,3,1955,Education Executive,Christian,Methodist,11765,17881,31062,11379,18929,
113,Kofi Osei-Ameyaw,Asuogyaman,Eastern Region,NPP,M,Married,2,1960,Lawyer,Christian,,18650,20750,40415,21777,18110,
114,Abena Osei-Asare (Mrs),Atiwa East,Eastern Region,NPP,F,Married,2,1979,Banker,Christian,Methodist,6480,16449,23361,6618,16513,
115,Kwasi Amoako-Attah,Atiwa West,Eastern Region,NPP,M,Married,4,1951,Lawyer,Christian,Presby,5984,17176,23160,5305,17625,
116,Samuel Ayeh-Paye,Ayensuano,Eastern Region,NPP,M,Married,3,1973,Engineer,Christian,Presby,16878,21893,39100,16266,20143,
117,Amankwa Kwabena Asiamah,Fanteakwa North,Eastern Region,NPP,M,Married,7,1958,Banker,Christian,Presby,10825,11798,23464,10877,11996,
