ID,MP,Party,Number of Children
1,Kobina Tahir Hammond,NPP,0
2,Nana Marfo Amaniampong,NPP,2
3,William Owuraku Aidoo,NPP,4
4,David Hennric Yeboah,NPP,3
5,Kwasi Adusei,NDC,3
6,Francis Manu-Adabor,NPP,5
7,Johnson Kwaku Adu,NPP,2
8,Kwabena Appiah-Pinkrah,NPP,4
9,Kwame Anyimadu-Antwi,NPP,4
10,Agyemang Kwadwo Baah,NPP,2
11,Kwaku Asante-Boateng,NPP,4
12,Mubarak Mohammed Muntaka (Alhaji),NDC,4
13,Appiagyei Patricia,NPP,3
14,Kojo Appiah-Kubi (Dr),NPP,5
15,Isaac Kwame Asiamah,NPP,3
16,Benito Owusu-Bio,NPP,5
17,Anthony Boakye Osei,NPP,6
18,Henry Kwabena Kokofu,NPP,0
19,"Joseph Osei-Owusu,",NPP,4
20,Kwadwo Frimpong Kyei,NPP,5
21,Simon Osei-Mensah,NPP,5
22,Frank Boakye Agyen,NPP,4
23,Kwabena Owusu-Aduomi,NPP,3
24,Mohammed Salisu Bamba,NPP,2
25,Daniel Kingsley Atta Boafo,NPP,3
26,Ama Pomaa Boateng,NPP,1
27,Philip Basoah,NPP,2
28,Kofi Frimpong,NPP,10
29,Owusu Afriyie Akoto (Dr),NPP,6
30,Francis Addai-Nimoh,NPP,3
31,Collins Owusu Amankwah,NPP,1
32,Matthew Opoku Prempeh (Dr.),NPP,0
33,Frimpong Yaw Addo,NPP,5
34,Grace Addo (Ms),NPP,2
35,Ernest kofi Yakah,NDC,9
36,Richard W. Anane (Dr),NPP,4
37,Kwame Asafu-Adjei,NPP,3
38,"Edward M Ennin,",NPP,4
39,Kwaku Agyeman Kwarteng,NPP,3
40,Emmanuel Akwasi Gyamfi,NPP,3
41,Augustine Collins Ntim,NPP,3
42,Ben Abdallah Banda,NPP,3
43,Elizabeth Agyeman (Ms),NPP,6
44,Anthony Akoto Osei (Dr),NPP,3
45,Alex Adomako-Mensah,NDC,5
46,"Osei Kyei-Mensah-Bonsu,",NPP,6
47,Isaac Osei,NPP,5
48,Robert Sarfo-Mensah,NPP,4
49,Eric Opoku,NDC,3
50,Joseph Benhazin Dahah,NPP,5
51,Collins Dauda (Alhaji),NDC,11
52,Nanja Sanja,NDC,5
53,Ahmed Ibrahim,NDC,1
54,Dr. Kwabena Twum-Nuamah,NPP,3
55,Kwaku Agyenim-Boateng,NPP,2
56,Kwaku Agyemang-Manu,NPP,6
57,William Kwasi Sabi,NPP,1
58,Vincent Oppong Asamoah,NDC,3
59,Stevens Siaka,NPP,7
60,Yaw Maama Afful,NPP,3
61,Stephen Kunsu,NDC,6
62,Yaw Effah-Baafi,NDC,5
63,Derek Oduro (Maj. [Rtd]),NPP,6
64,Emmanuel Kwadwo Agyekum,NDC,0
65,Kwabena Donkor (Dr),NDC,3
66,Masawud Mohammed (Alhaji),NDC,4
67,Dominic Napare,NDC,4
68,Twumasi Kwame Ampofo,NDC,0
69,Kwasi Ameyaw-Cheremeh,NPP,4
70,Ignatius Baffour Awuah,NPP,3
71,Kwasi Agyemang Gyan-Tutu,NDC,12
72,Freda Akosua Oheneafrewo Prempeh,NPP,0
73,Hanna Louisa Bisiw (Dr.),NDC,1
74,Alex Kyeremeh,NDC,5
75,Mensah Adjei,NDC,3
76,George Yaw Gyan-Baffour (Prof),NPP,7
77,Anthony Christian Dadzie,NDC,4
78,Queenstar Pokuah Sawyerr (Mrs),NDC,4
79,Charles Obeng-Inkoom,NDC,4
80,Cassiel Ato Forson,NDC,2
81,Georgina Nkrumah Aboah (Mrs),NDC,2
83,Samuel Ambre,NDC,3
82,Ken Ohene Agyapong,NPP,6
84,Dominic K. Fobih (Prof),NPP,9
85,Hawa Mavis Koomson (Mrs),NPP,3
86,Hanna Serwaah Tetteh (Ms),NDC,2
87,Ebo Barton-Odro,NDC,4
88,Kweku Ricketts-Hagan,NDC,5
89,Alexander Kwamina Afenyo-Markin,NPP,0
90,Abeiku Crentsil,NDC,4
91,Rachel Florence Appoh (Ms),NDC,1
92,Ekow Panyin Okyere Eduamoah,NDC,4
93,Francis Kojo Arthur,NDC,10
94,Foster Joseph Andoh,NDC,3
95,Stephen Nana Ato Arthur (Dr),NPP,3
96,Aquinas Quansah,NDC,1
97,Ato Samuel Amoah,NDC,4
98,Nana Amoakoh,NPP,3
99,Benjamin Kofi Ayeh,NPP,0
100,Bryan Acheampong,NPP,NA
101,Esther Obeng Dappah(Ms),NPP,3
